,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Fallon,US,2022-07-22 19:38:57,39.4735,-118.7774,94.91,5.0,20.0,0.0,few clouds
1,Mar del plata,AR,2022-07-22 19:38:59,-38.0023,-57.5575,51.94,71.0,0.0,9.22,clear sky
2,Odweyne,SO,2022-07-22 19:39:01,9.4092,45.064,72.97,52.0,5.0,19.15,clear sky
3,Kortkeros,RU,2022-07-22 19:39:02,61.8106,51.5806,62.6,75.0,49.0,2.19,scattered clouds
4,Valle de allende,MX,2022-07-22 19:39:04,26.9333,-105.4,87.62,29.0,100.0,10.67,overcast clouds
5,Chokurdakh,RU,2022-07-22 19:39:06,70.6333,147.9167,44.22,63.0,98.0,12.84,overcast clouds
6,Gainesville,US,2022-07-22 19:36:35,29.6516,-82.3248,95.7,57.0,75.0,3.44,broken clouds
7,Orlik,RU,2022-07-22 19:39:09,52.5178,99.825,52.81,85.0,100.0,3.27,light rain
8,Atuona,PF,2022-07-22 19:39:11,-9.8,-139.0333,77.25,77.0,4.0,14.61,clear sky
9,Hermanus,ZA,2022-07-22 19:39:13,-34.4187,19.2345,55.8,83.0,100.0,11.95,light rain
10,Aloleng,PH,2022-07-22 19:34:32,16.1307,119.7824,81.79,80.0,4.0,4.0,clear sky
11,Avera,PF,2022-07-22 19:39:18,33.194,-82.5271,88.38,50.0,100.0,9.04,overcast clouds
12,Hibbing,US,2022-07-22 19:35:54,47.4272,-92.9377,81.75,47.0,40.0,8.05,scattered clouds
13,Necochea,AR,2022-07-22 19:39:21,-38.5473,-58.7368,48.83,73.0,99.0,6.49,overcast clouds
14,Lorengau,PG,2022-07-22 19:39:23,-2.0226,147.2712,81.37,80.0,28.0,8.46,scattered clouds
15,Faanui,PF,2022-07-22 19:39:27,-16.4833,-151.75,78.04,74.0,17.0,9.46,few clouds
16,Pangnirtung,CA,2022-07-22 19:39:28,66.1451,-65.7125,50.0,81.0,20.0,9.22,few clouds
17,Bela cruz,BR,2022-07-22 19:39:30,-3.0506,-40.1678,85.98,56.0,77.0,12.28,broken clouds
18,Keti bandar,PK,2022-07-22 19:39:32,24.1447,67.4497,83.43,87.0,92.0,17.67,overcast clouds
19,Fare,PF,2022-07-22 19:39:34,-16.7,-151.0167,77.63,75.0,7.0,8.9,light rain
20,Namatanai,PG,2022-07-22 19:39:36,-3.6667,152.4333,77.94,79.0,7.0,6.46,clear sky
21,San patricio,MX,2022-07-22 19:39:38,28.017,-97.5169,98.17,43.0,5.0,16.93,clear sky
22,Yaounde,CM,2022-07-22 19:39:40,3.8667,11.5167,67.35,98.0,100.0,3.91,light rain
23,Khairpur nathan shah,PK,2022-07-22 19:39:42,27.0936,67.7337,90.7,58.0,100.0,3.38,overcast clouds
24,West wendover,US,2022-07-22 19:39:47,40.7391,-114.0733,92.41,20.0,0.0,8.05,clear sky
25,Colwyn bay,GB,2022-07-22 19:39:49,53.2948,-3.7267,62.83,94.0,70.0,5.17,broken clouds
26,Chalakudi,IN,2022-07-22 19:39:51,10.304,76.3361,76.91,94.0,75.0,3.44,mist
27,Bredasdorp,ZA,2022-07-22 19:39:53,-34.5322,20.0403,56.46,66.0,100.0,9.55,overcast clouds
28,Atikokan,CA,2022-07-22 19:35:30,48.7555,-91.6216,80.74,31.0,11.0,15.61,few clouds
29,Labuhan,ID,2022-07-22 19:39:56,-6.8844,112.2051,75.07,85.0,55.0,7.52,broken clouds
30,Chumikan,RU,2022-07-22 19:39:58,54.7183,135.315,51.93,95.0,45.0,0.51,scattered clouds
31,Mirpur mathelo,PK,2022-07-22 19:40:02,28.0227,69.5489,87.76,62.0,97.0,7.31,overcast clouds
32,Sao raimundo nonato,BR,2022-07-22 19:40:03,-9.0153,-42.6994,88.5,27.0,77.0,8.34,broken clouds
33,Kamenka,RU,2022-07-22 19:38:54,51.3223,42.7678,57.97,91.0,92.0,6.26,light rain
34,Chuy,UY,2022-07-22 19:40:07,-33.6971,-53.4616,57.74,92.0,80.0,4.43,broken clouds
35,Stornoway,GB,2022-07-22 19:40:09,58.2093,-6.3865,58.96,82.0,75.0,1.14,broken clouds
36,San quintin,MX,2022-07-22 19:40:10,30.4833,-115.95,74.59,63.0,99.0,16.67,overcast clouds
37,Mataura,PF,2022-07-22 19:40:12,-46.1927,168.8643,33.48,98.0,14.0,2.98,few clouds
38,Samarai,PG,2022-07-22 19:40:14,-10.6167,150.6667,79.48,81.0,39.0,5.23,scattered clouds
39,Amalapuram,IN,2022-07-22 19:40:16,16.5833,82.0167,78.6,86.0,100.0,7.23,overcast clouds
40,Churapcha,RU,2022-07-22 19:40:18,62.0025,132.4325,63.55,93.0,100.0,3.4,light rain
41,Tazovskiy,RU,2022-07-22 19:40:20,67.4667,78.7,45.52,94.0,100.0,7.25,light rain
