,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Neiafu,TO,2022-07-23 02:38:56,-18.65,-173.9833,79.48,73.0,40.0,5.75,scattered clouds
1,Tecoanapa,MX,2022-07-23 02:43:40,16.5167,-98.75,80.87,81.0,38.0,3.58,scattered clouds
2,Aasiaat,GL,2022-07-23 02:43:43,68.7098,-52.8699,39.29,99.0,100.0,5.17,light rain
3,Pangai,TO,2022-07-23 02:43:45,-19.8,-174.35,78.91,78.0,40.0,13.8,scattered clouds
4,Klaksvik,FO,2022-07-23 02:43:47,62.2266,-6.589,49.12,82.0,100.0,6.46,overcast clouds
5,Siuna,NI,2022-07-23 02:43:49,13.7332,-84.7773,72.57,98.0,100.0,3.78,overcast clouds
6,Kongolo,CD,2022-07-23 02:43:50,-5.3833,27.0,72.46,45.0,6.0,4.34,clear sky
7,Vaini,TO,2022-07-23 02:43:54,-21.2,-175.2,75.36,83.0,40.0,12.66,scattered clouds
8,Mahon,ES,2022-07-23 02:43:56,39.8885,4.2658,73.96,94.0,0.0,4.61,clear sky
9,Ulladulla,AU,2022-07-23 02:43:58,-35.35,150.4667,61.7,73.0,79.0,4.7,broken clouds
10,Ilulissat,GL,2022-07-23 02:44:00,69.2167,-51.1,51.82,87.0,100.0,4.61,drizzle
11,Hakui,JP,2022-07-23 02:44:01,36.8833,136.7833,79.45,81.0,38.0,8.57,scattered clouds
12,Pocone,BR,2022-07-23 02:44:03,-16.2567,-56.6228,72.52,42.0,0.0,1.99,clear sky
13,San carlos de bariloche,AR,2022-07-23 02:44:05,-41.1456,-71.3082,39.43,63.0,100.0,0.0,heavy intensity rain
14,Chadiza,ZM,2022-07-23 02:44:07,-14.0678,32.4392,52.5,86.0,5.0,3.04,clear sky
15,Taunton,US,2022-07-23 02:44:09,51.0211,-3.1047,57.88,92.0,95.0,1.99,overcast clouds
16,Bayji,IQ,2022-07-23 02:44:10,34.9311,43.487,84.88,20.0,0.0,6.17,clear sky
17,Hamada,JP,2022-07-23 02:44:12,34.8833,132.0833,77.72,68.0,44.0,5.97,scattered clouds
18,Nova bystrice,CZ,2022-07-23 02:44:14,49.0193,15.1032,66.51,84.0,100.0,2.08,overcast clouds
19,Ajdabiya,LY,2022-07-23 02:44:16,30.7554,20.2263,74.03,75.0,0.0,8.59,clear sky
20,Victor harbor,AU,2022-07-23 02:44:18,-35.5667,138.6167,61.68,74.0,20.0,1.01,few clouds
21,Catia la mar,VE,2022-07-23 02:44:20,10.6038,-67.0303,79.0,89.0,20.0,4.61,few clouds
22,Arkhangelskaya,RU,2022-07-23 02:44:21,45.6796,40.2754,62.37,89.0,59.0,13.27,light rain
23,Kesova gora,RU,2022-07-23 02:44:23,57.5836,37.2922,61.9,78.0,9.0,5.28,clear sky
24,Maniitsoq,GL,2022-07-23 02:44:25,65.4167,-52.9,45.41,82.0,100.0,3.36,overcast clouds
25,Awbari,LY,2022-07-23 02:44:27,26.5921,12.7805,76.21,28.0,9.0,7.85,clear sky
26,San juan,AR,2022-07-23 02:41:42,-31.5375,-68.5364,54.52,33.0,0.0,2.21,clear sky
27,Lodja,CD,2022-07-23 02:44:31,-3.4833,23.4333,69.12,93.0,73.0,2.28,broken clouds
28,Nanortalik,GL,2022-07-23 02:44:36,60.1432,-45.2371,45.48,85.0,46.0,0.45,scattered clouds
29,Korhogo,CI,2022-07-23 02:44:38,9.45,-5.6333,71.04,90.0,100.0,4.12,overcast clouds
30,Hit,IQ,2022-07-23 02:41:41,33.6416,42.8251,85.95,20.0,0.0,9.78,clear sky
31,Awjilah,LY,2022-07-23 02:44:42,29.1081,21.2869,74.91,46.0,0.0,12.12,clear sky
32,Lubao,CD,2022-07-23 02:44:44,14.9167,120.55,92.91,64.0,46.0,3.94,scattered clouds
33,Narsaq,GL,2022-07-23 02:44:45,60.9167,-46.05,50.22,78.0,55.0,1.77,broken clouds
34,Bani walid,LY,2022-07-23 02:44:49,31.7566,13.9942,68.88,74.0,0.0,3.96,clear sky
35,Mankono,CI,2022-07-23 02:44:53,8.0586,-6.1897,68.58,89.0,100.0,5.32,overcast clouds
36,Nuuk,GL,2022-07-23 02:44:55,64.1835,-51.7216,41.61,100.0,11.0,4.61,fog
37,Chivacoa,VE,2022-07-23 02:44:56,10.1603,-68.895,70.9,99.0,61.0,4.18,broken clouds
38,Sarhari,PK,2022-07-23 02:45:00,26.0977,68.4786,84.2,70.0,40.0,2.3,smoke
